Código,Descripción,Definición,cuenta_digepres,descripcion_digepres
10101603,Pavos vivos,"Ave del orden de las Galliformes, oriunda de América, donde en estado salvaje llega a tener un metro de alto, trece decímetros desde la punta del pico hasta el extremo de la cola, dos metros de envergadura y 20 kg de peso. Tiene plumaje de color pardo verdoso con reflejos cobrizos y manchas blanquecinas en los extremos de las alas y de la cola, cabeza y cuello cubiertos de carúnculas rojas, así como la membrana eréctil que lleva encima del pico, tarsos negruzcos muy fuertes, dedos largos, y en el pecho un mechón de cerdas de tres a cuatro centímetros de longitud",2.6.7.3.01,Aves
10101604,Gansos vivos,"Ave palmípeda del orden de las Anseriformes, de hasta 90 cm de longitud, con plumaje básicamente gris y pico y patas de color naranja, rosa o amarillo según la especie. Es migratoria y vive en herbazales cercanos al agua en Europa, Asia y Norteamérica",2.6.7.3.01,Aves
10101605,Faisanes vivos,"Ave del orden de las Galliformes, del tamaño de un gallo, con un penacho de plumas en la cabeza, cola muy larga y tendida y plumaje de vivos colores en el macho. Es ave de caza muy apreciada por su carne.",2.6.7.3.01,Aves
10101701,Salmón vivos,"Pez teleósteo de hasta metro y medio de longitud, de cuerpo rollizo, cabeza apuntada y una aleta adiposa dorsal junto a la cola. El adulto tiene azulado el lomo y plateado el vientre, con reflejos irisados en los costados.",2.6.7.5.01,Peces y acuicultura
10101702,Trucha viva,"Pez teleósteo de agua dulce, de la familia de los Salmónidos, que mide hasta ocho decímetros de longitud, con cuerpo de color pardo y lleno de pintas rojizas o negras, según los casos, cabeza pequeña, cola con un pequeño entrante y carne comestible blanca o encarnada",2.6.7.5.01,Peces y acuicultura
10101703,Tilapia viva,"Pez muy voraz, parecido a la piraña, de carne blanca comestible.  Tilapia es el nombre genérico con el que se denomina a un grupo de peces de origen africano, que consta de varias especies, algunas con interés económico, pertenecientes al género Oreochromis.",2.6.7.5.01,Peces y acuicultura
10101704,Carpa viva,"Pez teleósteo fisóstomo, verdoso por encima y amarillo por abajo, de boca pequeña sin dientes, escamas grandes y una sola aleta dorsal, que vive muchos años en las aguas dulces. Hay una especie procedente de China, de color rojo y dorado",2.6.7.5.01,Peces y acuicultura
10101705,Anguilas vivas,"Pez teleósteo, fisóstomo, sin aletas abdominales, de cuerpo largo, cilíndrico, y que llega a medir un metro. Tiene una aleta dorsal que se une primero con la caudal, y dando después vuelta, con la anal, mientras son muy pequeñas las pectorales. Su carne es comestible. Vive en los ríos, pero cuando sus órganos sexuales llegan a la plenitud de su desarrollo, desciende por los ríos y entra en el mar para efectuar su reproducción en determinado lugar del océano Atlántico",2.6.7.5.01,Peces y acuicultura
10101801,Camarón vivo,"Crustáceo decápodo, macruro, de tres a cuatro centímetros de largo, parecido a una gamba diminuta, de color pardusco. Es comestible y se conoce también con los nombres de quisquilla y esquila.",2.6.7.5.01,Peces y acuicultura
10101802,Almejas vivas,"Molusco lamelibranquio marino, con valvas casi ovales, mates o poco lustrosas por fuera, con surcos concéntricos y estrías radiadas muy finas; en su interior son blanquecinas y algo nacaradas. Su carne es comestible y muy apreciada",2.6.7.5.01,Peces y acuicultura
10101803,Mejillones vivos,"Molusco lamelibranquio marino, con la concha formada por dos valvas simétricas, convexas, casi triangulares, de color negro azulado por fuera, algo anacaradas por dentro, y de unos cuatro centímetros de longitud. Tiene dos músculos aductores para cerrar la concha, pero el anterior es rudimentario. Vive asido a las rocas por medio de los filamentos del biso. Es muy apreciado como comestible.",2.6.7.5.01,Peces y acuicultura
10101804,Ostras vivas,"Molusco lamelibranquio marino, con concha de valvas desiguales, ásperas, de color grisáceo por fuera y blanco anacarado por dentro, de las cuales la mayor es más convexa que la otra y está adherida a las rocas.",2.6.7.5.01,Peces y acuicultura
10101805,Cangrejos vivos,Cada uno de los artrópodos crustáceos del orden de los Decápodos,2.6.7.5.01,Peces y acuicultura
10101806,Abulones vivos,"Molusco gasterópodo cuya concha es ovalada, de espira muy baja, borde delgado en la mitad de su contorno, con una especie de labio en la otra mitad, donde hay una serie de agujeros que van cerrándose a medida que el animal crece. Es arrugada y pardusca por fuera y brillantemente nacarada por dentro. Vive en los mares de España.",2.6.7.5.01,Peces y acuicultura
10101807,Pulpo vivo,"Molusco cefalópodo dibranquial, octópodo, que vive de ordinario en el fondo del mar, y a veces nada a flor de agua. Es muy voraz, se alimenta de moluscos y crustáceos y su carne es comestible. Los individuos de la especie común en los mares de España, apenas tienen un metro de extremo a extremo de los tentáculos; pero los hay de otras especies que alcanzan hasta diez y doce.",2.6.7.5.01,Peces y acuicultura
10101808,Calamar vivo,"Molusco cefalópodo de cuerpo alargado, con una concha interna en forma de pluma de ave y diez tentáculos provistos de ventosas, dos de ellos más largos que el resto. Vive formando bancos que son objeto de una activa pesca.",2.6.7.5.01,Peces y acuicultura
10101901,Mariposas,"Insecto lepidóptero,  son un orden de insectos holometábolos, casi siempre voladores; las más conocidas son las mariposas diurnas, pero la mayoría de las especies son nocturnas (polillas, esfinges, pavones, etc.) y pasan muy inadvertidas. Sus larvas se conocen como orugas y se alimentan típicamente de materia vegetal, pudiendo ser plagas importantes para la agricultura.",2.6.7.7.01,Especies menores y de zoológico
10101902,Escarabajos,"Insecto coleóptero, de antenas con nueve articulaciones terminadas en maza, élitros lisos, cuerpo deprimido, con cabeza rombal y dentada por delante, y patas anteriores desprovistas de tarsos. Busca el estiércol para alimentarse y hacer bolas, dentro de las cuales deposita los huevos.",2.6.7.7.01,Especies menores y de zoológico
10101903,Abejas,"Insecto himenóptero, de unos quince milímetros de largo, de color pardo negruzco y con vello rojizo. Vive en colonias, cada una de las cuales consta de una sola hembra fecunda, muchos machos y numerosísimas hembras estériles; habita en los huecos de los árboles o de las peñas, o en las colmenas que el hombre le prepara, y produce la cera y la miel.",2.6.7.7.01,Especies menores y de zoológico
10101904,Gusanos de seda,"Especie de insecto lepidóptero de la familia Bombycidae originaria del norte de Asia. Se cría hoy en muchas regiones del mundo para aprovechar el capullo que protege a su crisálida, constituido por un largo filamento de seda, producido por la oruga al retraerse para la metamorfosis.",2.6.7.7.01,Especies menores y de zoológico
10102001,Elefantes,"Mamífero del orden de los Proboscidios, el mayor de los animales terrestres que viven ahora, pues llega a tres metros de alto y cinco de largo. Tiene el cuerpo de color ceniciento oscuro, la cabeza pequeña, los ojos chicos, las orejas grandes y colgantes, la nariz y el labio superior unidos y muy prolongados en forma de trompa, que extiende y recoge a su arbitrio y le sirve de mano. Carece de caninos y tiene dos dientes incisivos, vulgarmente llamados colmillos, macizos y muy grandes. Se cría en Asia y África, donde lo emplean como animal de carga.",2.6.7.7.01,Especies menores y de zoológico
10102002,Zorros vivos,"Mamífero cánido de menos de un metro de longitud, incluida la cola, de hocico alargado y orejas empinadas, pelaje de color pardo rojizo y muy espeso, especialmente en la cola, de punta blanca. Es de costumbres crepusculares y nocturnas; abunda en España y caza con gran astucia toda clase de animales, incluso de corral.",2.6.7.7.01,Especies menores y de zoológico
10111301,Juguetes para mascotas,Objeto atractivo con que se entretienen los animales domésticos,2.3.9.7.01,Productos y útiles veterinarios
10111302,Productos para el aseo y cuidado de mascotas,"Accesorios para el cuidado de los animales domésticos (artículos de aseo,estéticos,etc.)",2.3.9.7.01,Productos y útiles veterinarios
10111303,Equipo para el manejo de desperdicios de las mascotas,"Colección de utensilios, instrumentos y aparatos especiales para la disposición adecuada de los desechos del animal doméstico",2.3.9.7.01,Productos y útiles veterinarios
10111304,Tazones o equipo para alimentación de mascotas,"Colección de utensilios, instrumentos y aparatos especiales para un la alimentación de los animales domésticos",2.3.9.7.01,Productos y útiles veterinarios
10111305,Tratamientos medicados para mascotas,"Es el conjunto de medios de cualquier clase (higiénicos, farmacológicos, quirúrgicos o físicos) cuya finalidad es la curación o el alivio (paliación) de las enfermedades o síntomas de animales domésticos",2.3.4.2.01,Productos medicinales para uso veterinario
10111306,Kits para el entrenamiento de mascotas domésticas,"Conjunto de utensilios, instrumentos y aparatos especiales para el entrenamiento de animales domésticos.",2.3.9.7.01,Productos y útiles veterinarios
10111307,Cobijas para mascotas,"Prenda de lana o algodón, tupida y ordinariamente peluda, de forma rectangular, que sirve para abrigar a los animales domésticos",2.3.9.7.01,Productos y útiles veterinarios
10121501,Salvado de trigo puro,"Es el resultado de una parte de la molienda de los granos de cereales, en concreto procede de las cinco capas más externas del grano, formadas por una primera capa exterior de envuelta, o cutícula, la segunda o epicarpio, la tercera o endocarpio, la cuarta capa, denominada testa y la quinta, denominada aleurona.",2.3.1.2.01,Alimentos para animales
10121502,Avena para forraje,"Cereal de menor valor energético, como consecuencia de su alto contenido en fibra y lignina y su bajo nivel de almidón utilizado para la alimentación de animales.Aunque cada pienso es especifico de cada animal, a veces se puede usar uno de otra especie distinta.",2.3.1.2.01,Alimentos para animales
10121503,Maíz para forraje,"Es una planta gramínea anual originaria de América introducida en Europa en el siglo XVII. Actualmente, es el cereal con mayor volumen de producción en el mundo, superando al trigo y al arroz, utilizado para la alimentación de animales.",2.3.1.2.01,Alimentos para animales
10121504,Sorgo para forraje,"Planta anual, originaria de la India, de la familia de las Gramíneas, con cañas de dos a tres metros de altura, llenas de un tejido blanco y algo dulce y vellosas en los nudos; hojas lampiñas, ásperas en los bordes, flores en panoja floja, grande y derecha, o espesa, arracimada y colgante, y granos mayores que los cañamones, algo rojizos, blanquecinos o amarillos. Sirven estos para hacer pan y de alimento a las aves, y toda la planta de pasto a las vacas y otros animales.",2.3.1.2.01,Alimentos para animales
10121505,Heno,"Planta de la familia de las Gramíneas, con cañas delgadas de unos 20 cm de largo, hojas estrechas, agudas, más cortas que la vaina, y flores en panoja abierta, pocas en número y con arista en el cascabillo.",2.3.1.2.01,Alimentos para animales
10121506,Tortas oleaginosas,Masa en forma redonda resultado del hueso de la aceituna después de molida y exprimida,2.3.1.2.01,Alimentos para animales
10121601,Alimento vivo para aves,Cada una de las sustancias o conjunto de cosas vivas que un pajaro toma o recibe para su nutrición,2.3.1.2.01,Alimentos para animales
10121602,Alpiste,"Semilla de la planta anual de la familia de las Gramíneas, que crece hasta 40 ó 50 cm y echa una panoja oval, con espiguillas de tres flores y semillas menudas. Toda la planta sirve para forraje, y las semillas para alimento de pájaros y para otros usos.",2.3.1.2.01,Alimentos para animales
10121603,Pasa bocas o comida recreacional para aves,Cada una de las sustancias o conjunto de cosas que un pajaro toma o recibe para su nutrición,2.3.1.2.01,Alimentos para animales
10121604,Alimento avícola,Cada una de las sustancias o conjunto de cosas que una ave toma o recibe para su nutrición,2.3.1.2.01,Alimentos para animales
10121701,Salmuera fresca o congelada,Agua cargada de sal que puede estar fresca o congelada.,2.3.1.2.01,Alimentos para animales
10121702,Alimento granulado para peces,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los peces toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121703,Alimento en hojuelas para peces,Cada una de las sustancias o conjunto de cosas en forma grumo o coágulos que los peces toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121801,Comida seca para perros,Cada una de las sustancias o conjunto de cosas en estado seco que los perros toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121802,Comida húmeda para perros,Cada una de las sustancias o conjunto de cosas en estado húmedo que los perros toman o reciben para su nutrición.,2.3.1.2.01,Alimentos para animales
10121803,Leche para perros o gatos,Líquido blanco que segregan algunos animales que se emplea parr alimentar a los perros y a los gatos,2.3.1.2.01,Alimentos para animales
10121804,Comida seca para gatos,Cada una de las sustancias o conjunto de cosas en estado seco que gatos toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121805,Comida húmeda para gatos,Cada una de las sustancias o conjunto de cosas en estado húmedo que gatos toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121806,Pasa bocas o comida recreacional para gatos o perros,Cada una de las sustancias o conjunto de cosas  que perros y gatos toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10121901,Comida granulada para roedores,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los roedores toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122001,Comida granulada para reptiles,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los reptiles toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122002,Comida húmeda para reptiles,Cada una de las sustancias o conjunto de cosas en estado húmedo que los reptiles toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122003,Comida viva para reptiles,Cada una de las sustancias o conjunto de cosas vivas que los reptiles toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122101,Comida para cerdos,Cada una de las sustancias o conjunto de cosas que los cerdos toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122102,Comida para visones,Cada una de las sustancias o conjunto de cosas que los visones toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10122103,Comida para monos,Cada una de las sustancias o conjunto de cosas que los monos toman o reciben para su nutrición,2.3.1.2.01,Alimentos para animales
10131506,Establos para ganado,Lugar cubierto en que se encierra ganado para su descanso y alimentación,2.7.1.2.01,Obras para edificación no residencial
10131507,Casas para mascotas domesticadas,Lugar que se utiliza para que los animales domésticos habiten,2.3.9.7.01,Productos y útiles veterinarios
10131508,Camas para mascotas,Sitio donde se echan los animales para su descanso,2.3.9.7.01,Productos y útiles veterinarios
10131601,Jaulas o sus accesorios,"Armazón, cerrado o no según los casos, hecho con barras o listones y destinado a encerrar animales.",2.3.9.7.01,Productos y útiles veterinarios
10131602,Perreras,Lugar o sitio donde se guardan o encierran los perros,2.6.9.2.01,Edificios no residenciales
10131603,Equipaje para el transporte de animales,"Armazón, cerrado o no según los casos, hecho con barras o listones y destinado a encerrar animales para la movilización o transporte de los mismos de un lugar a otro",2.3.9.7.01,Productos y útiles veterinarios
10131604,Correas para perros,"Tira de cuero, que se usa para amarrar a los perros",2.3.9.7.01,Productos y útiles veterinarios
10131701,Terrarios,"Instalación adecuada para mantener vivos y en las mejores condiciones a ciertos animales, como reptiles, anfibios, etc..",2.6.9.2.01,Edificios no residenciales
10131702,Acuarios,Depósito de agua donde se tienen vivos animales o vegetales acuáticos. Edificio destinado a la exhibición de animales acuáticos vivos.,2.7.1.2.01,Obras para edificación no residencial
10141501,Sillas de montar,"Aparejo para montar a caballo, formado por una armazón de madera, cubierta generalmente de cuero y rellena de crin o pelote",2.3.9.7.01,Productos y útiles veterinarios
10141502,Fustas y látigos,"Vara flexible o látigo largo y delgado que por el extremo superior tiene una trencilla de correa, que se usa para estimular a los caballos.",2.3.9.7.01,Productos y útiles veterinarios
10141503,Herraduras para caballo,Hierro aproximadamente semicircular que se clava a las caballerías en los cascos o a algunos vacunos en las pezuñas para que no se los maltraten con el piso.,2.3.9.7.01,Productos y útiles veterinarios
10141504,Herraduras para mula,Hierro aproximadamente semicircular que se clava a las caballerías en los cascos o a algunos vacunos en las pezuñas para que no se los maltraten con el piso.,2.3.9.7.01,Productos y útiles veterinarios
10141601,Bridas,Freno del caballo con las riendas y todo el correaje que sirve para sujetarlo a la cabeza del animal,2.3.9.7.01,Productos y útiles veterinarios
10141602,Yugos,"Instrumento de madera al cual, formando yunta, se uncen por el cuello las mulas, o por la cabeza o el cuello, los bueyes, y en el que va sujeta la lanza o pértigo del carro, el timón del arado, etc.",2.3.1.4.01,"Madera, corcho y sus manufacturas"
10141603,Bocados para caballos,Parte del freno que entra en la boca de la caballería,2.3.9.7.01,Productos y útiles veterinarios
10141604,Riendas,"Cada una de las dos correas, cintas o cuerdas que, unidas por uno de sus extremos a las camas del freno, lleva asidas por el otro quien gobierna la caballería",2.3.9.7.01,Productos y útiles veterinarios
10141605,Estribos,"Pieza de metal, madera o cuero en que el jinete apoya el pie, la cual está pendiente de la ación",2.3.9.7.01,Productos y útiles veterinarios
10141606,Correas o traíllas,Cinta de cuero para sujetar la silla de montar,2.3.9.7.01,Productos y útiles veterinarios
10141607,Arneses de cuello para animales,"Aro, por lo común de cuero, que se ciñe al cuello de los animales domésticos para adorno, sujeción o defensa",2.3.9.7.01,Productos y útiles veterinarios
10141608,Arneses o sus accesorios,"Conjunto de armas que se acomodaban al cuerpo, asegurándolas con correas y hebillas",2.3.9.7.01,Productos y útiles veterinarios
10141609,Sujetadores,"Equipos que se utilizan para unir  algo epara que no puede separarse, dividirse o inclinarse",2.3.9.7.01,Productos y útiles veterinarios
10141610,Bozales,"Aparato, comúnmente de correas o alambres, que se pone en la boca a los perros para que no muerdan. Esportilla, comúnmente de esparto, la cual, colgada de la cabeza, se pone en la boca a las bestias de labor y de carga, para que no hagan daño a los panes o se paren a comer",2.3.9.7.01,Productos y útiles veterinarios
10141611,Soportes para correas,Elemento que sirve para apoyar o sostener las correas,2.3.9.8.02,Accesorios
10151501,Semillas o plántulas de fríjol,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea anual, de la familia de las Papilionáceas, con tallos endebles, volubles, de tres a cuatro metros de longitud, hojas grandes, compuestas de tres hojuelas acorazonadas unidas por la base, flores blancas en grupos axilares, y fruto en vainas aplastadas, terminadas en dos puntas, y con varias semillas de forma de riñón.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151502,Semillas o plántulas de zanahoria,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea umbelífera, con flores blancas, y purpúrea la central de la umbela; fruto seco y comprimido y raíz fusiforme, de unos dos decímetros de largo, amarilla o rojiza, jugosa y comestible.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151503,Semillas o plántulas de apio,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas de la familia de las Umbelíferas, de cinco a seis decímetros de altura, con tallo jugoso, grueso, lampiño, hueco, asurcado y ramoso, hojas largas y hendidas, y flores muy pequeñas y blancas.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151504,Semillas o plántulas de chiles,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea anual, de la familia de las Solanáceas, con tallos ramosos de cuatro a seis decímetros de altura, hojas lanceoladas, enteras y lampiñas, flores blancas, pequeñas, axilares, y fruto en baya hueca, muy variable en forma y tamaño, según las castas, pero generalmente cónico, de punta obtusa, terso en la superficie, primeramente verde, después rojo o amarillo, y con multitud de semillas planas, circulares, amarillentas, sujetas en una expansión interior del pedúnculo.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151505,Semillas o plántulas de calabacín,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas de calabaza, muy vario en su forma, tamaño y color, por lo común grande, redondo y con multitud de pipas o semillas",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151506,Semillas o plántulas de alverja,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas hortense de la familia de las Papilionáceas, con tallos volubles de uno a dos metros de longitud, hojas pecioladas, compuestas de tres pares de hojuelas elípticas, enteras y ondeadas por el margen, estípulas a menudo convertidas en zarcillos, flores axilares en racimos colgantes de color blanco, rojo y azulado, y fruto en vaina casi cilíndrica, con diversas semillas aproximadamente esféricas, de seis a ocho milímetros de diámetro.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151507,Semillas o plántulas de pepino cohombro,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea anual, de la familia de las Cucurbitáceas, con tallos blandos, rastreros, vellosos y de dos a tres metros de longitud, hojas pecioladas, pelosas, partidas en lóbulos agudos, flores amarillas, separadas las masculinas de las femeninas, y fruto pulposo, cilíndrico, de seis a doce centímetros de largo y dos a cinco de grueso, amarillo cuando está maduro, y antes verde más o menos claro por la parte exterior, interiormente blanco y con multitud de semillas ovaladas y puntiagudas por uno de sus extremos, chatas y pequeñas. Es comestible.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151508,Semillas o plántulas de berenjena,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas  anual de la familia de las Solanáceas, de cuatro a seis decímetros de altura, ramosa, con hojas grandes, aovadas, de color verde, casi cubiertas de un polvillo blanco y llenas de aguijones, flores grandes y de color morado, y fruto aovado, de diez a doce centímetros de largo, cubierto por una película morada y lleno de una pulpa blanca dentro de la cual están las semillas.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151509,Semillas o plántulas de endivias,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas de endibia.  Variedad lisa de escarola, de la que se consume el cogollo de hojas tiernas y pálidas",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151510,Semillas o plántulas de ajo,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas de la familia de las Liliáceas, de 30 a 40 cm de altura, con hojas ensiformes muy estrechas y bohordo con flores pequeñas y blancas. El bulbo es también blanco, redondo y de olor fuerte y se usa mucho como condimento.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151511,Semillas o plántulas de puerro,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas  de herbácea anual, de la familia de las Liliáceas, con cebolla alargada y sencilla, tallo de seis a ocho decímetros, hojas planas, largas, estrechas y enteras, y flores en umbela, con pétalos de color blanco rojizo. El bulbo de su raíz es comestible.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151512,Semillas o plántulas de lechuga,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea de la familia de las Compuestas, con tallo ramoso de cuatro a seis decímetros de altura, hojas grandes, radicales, blandas, nerviosas, trasovadas, enteras o serradas, flores en muchas cabezuelas y de pétalos amarillentos, y fruto seco, gris, comprimido, con una sola semilla. Es originaria de la India, se cultiva en las huertas y hay de ella muchas variedades. Las hojas son comestibles, y del tallo se puede extraer abundante látex de sabor agradable.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151513,Semillas o plántulas de maíz,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas de la familia de las Gramíneas, con el tallo grueso, de uno a tres metros de altura, según las especies, hojas largas, planas y puntiagudas, flores masculinas en racimos terminales y las femeninas en espigas axilares resguardadas por una vaina.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151514,Semillas o plántulas de melón,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas herbácea anual, de la familia de las Cucurbitáceas, con tallos tendidos, ramosos, ásperos, con zarcillos, y de tres a cuatro metros de longitud, hojas pecioladas, partidas en cinco lóbulos obtusos, flores solitarias de corola amarilla, y fruto elipsoidal de dos a tres decímetros de largo, con cáscara blanca, amarilla, verde o manchada de estos colores, carne olorosa, abundante, dulce, blanda, aguanosa, que deja en el interior un hueco donde hay muchas pepitas de corteza amarilla y almendra blanca.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
10151515,Semillas o plántulas cebolla,"Grano que en diversas formas produce las plantas y que al caer o ser sembrado produce nuevas plantas hortense, de la familia de las Liliáceas, con tallo de seis a ocho decímetros de altura, hueco, fusiforme e hinchado hacia la base, hojas fistulosas y cilíndricas, flores de color blanco verdoso en umbela redonda, y raíz fibrosa que nace de un bulbo esferoidal, blanco o rojizo, formado de capas tiernas y jugosas, de olor fuerte y sabor más o menos picante.",2.6.7.9.01,"Semillas, cultivos, plantas y árboles  que generan productos  recurrentes"
