Código UNSPSC,Descripción,Definición,Código Segmento,Segmento,Código Familia,Familia,Código Clase,Clase,Fecha Versión
10101514,Primates,"Mamíferos de superior organización, plantígrados, con extremidades terminadas en cinco dedos provistos de uñas, de los cuales el pulgar es oponible a los demás, por lo menos en los miembros torácicos",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101515,Armadillos,"Mamífero del orden de los Desdentados, con algunos dientes laterales. El cuerpo, que mide de tres a cinco decímetros de longitud, está protegido por un caparazón formado de placas óseas cubiertas por escamas córneas, las cuales son movibles, de modo que e",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101516,Ganado vacuno,Animal cuadrúpedo hembra del toro,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101517,Camellos,"Artiodáctilo rumiante, oriundo del Asia central, corpulento y más alto que el caballo, con el cuello largo, la cabeza proporcionalmente pequeña y dos gibas en el dorso, formadas por acumulación de tejido adiposo",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101601,Pollos vivos,Cría que nace de cada huevo de ave y en especial la de la gallina,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101600,Pájaros y aves de corral,2026-06-18 12:27:54
10101602,Patos vivos,"Ave palmípeda, con el pico más ancho en la punta que en la base y en esta más ancho que alto. Su cuello es corto, y también los tarsos, por lo que anda con dificultad. Tiene una mancha de color verde metálico en cada ala",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101600,Pájaros y aves de corral,2026-06-18 12:27:54
10101603,Pavos vivos,"Ave del orden de las Galliformes, oriunda de América, donde en estado salvaje llega a tener un metro de alto, trece decímetros desde la punta del pico hasta el extremo de la cola, dos metros de envergadura y 20 kg de peso. Tiene plumaje de color pardo ver",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101600,Pájaros y aves de corral,2026-06-18 12:27:54
10101604,Gansos vivos,"Ave palmípeda del orden de las Anseriformes, de hasta 90 cm de longitud, con plumaje básicamente gris y pico y patas de color naranja, rosa o amarillo según la especie. Es migratoria y vive en herbazales cercanos al agua en Europa, Asia y Norteamérica",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101600,Pájaros y aves de corral,2026-06-18 12:27:54
10101605,Faisanes vivos,"Ave del orden de las Galliformes, del tamaño de un gallo, con un penacho de plumas en la cabeza, cola muy larga y tendida y plumaje de vivos colores en el macho. Es ave de caza muy apreciada por su carne.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101600,Pájaros y aves de corral,2026-06-18 12:27:54
10101701,Salmón vivos,"Pez teleósteo de hasta metro y medio de longitud, de cuerpo rollizo, cabeza apuntada y una aleta adiposa dorsal junto a la cola. El adulto tiene azulado el lomo y plateado el vientre, con reflejos irisados en los costados.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101700,Peces,2026-06-18 12:27:54
10101702,Trucha viva,"Pez teleósteo de agua dulce, de la familia de los Salmónidos, que mide hasta ocho decímetros de longitud, con cuerpo de color pardo y lleno de pintas rojizas o negras, según los casos, cabeza pequeña, cola con un pequeño entrante y carne comestible blanca",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101700,Peces,2026-06-18 12:27:54
10101703,Tilapia viva,"Pez muy voraz, parecido a la piraña, de carne blanca comestible.  Tilapia es el nombre genérico con el que se denomina a un grupo de peces de origen africano, que consta de varias especies, algunas con interés económico, pertenecientes al género Oreochrom",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101700,Peces,2026-06-18 12:27:54
10101704,Carpa viva,"Pez teleósteo fisóstomo, verdoso por encima y amarillo por abajo, de boca pequeña sin dientes, escamas grandes y una sola aleta dorsal, que vive muchos años en las aguas dulces. Hay una especie procedente de China, de color rojo y dorado",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101700,Peces,2026-06-18 12:27:54
10101705,Anguilas vivas,"Pez teleósteo, fisóstomo, sin aletas abdominales, de cuerpo largo, cilíndrico, y que llega a medir un metro. Tiene una aleta dorsal que se une primero con la caudal, y dando después vuelta, con la anal, mientras son muy pequeñas las pectorales. Su carne e",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101700,Peces,2026-06-18 12:27:54
10101801,Camarón vivo,"Crustáceo decápodo, macruro, de tres a cuatro centímetros de largo, parecido a una gamba diminuta, de color pardusco. Es comestible y se conoce también con los nombres de quisquilla y esquila.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101802,Almejas vivas,"Molusco lamelibranquio marino, con valvas casi ovales, mates o poco lustrosas por fuera, con surcos concéntricos y estrías radiadas muy finas; en su interior son blanquecinas y algo nacaradas. Su carne es comestible y muy apreciada",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101803,Mejillones vivos,"Molusco lamelibranquio marino, con la concha formada por dos valvas simétricas, convexas, casi triangulares, de color negro azulado por fuera, algo anacaradas por dentro, y de unos cuatro centímetros de longitud. Tiene dos músculos aductores para cerrar l",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101804,Ostras vivas,"Molusco lamelibranquio marino, con concha de valvas desiguales, ásperas, de color grisáceo por fuera y blanco anacarado por dentro, de las cuales la mayor es más convexa que la otra y está adherida a las rocas.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101805,Cangrejos vivos,Cada uno de los artrópodos crustáceos del orden de los Decápodos,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101806,Abulones vivos,"Molusco gasterópodo cuya concha es ovalada, de espira muy baja, borde delgado en la mitad de su contorno, con una especie de labio en la otra mitad, donde hay una serie de agujeros que van cerrándose a medida que el animal crece. Es arrugada y pardusca po",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101807,Pulpo vivo,"Molusco cefalópodo dibranquial, octópodo, que vive de ordinario en el fondo del mar, y a veces nada a flor de agua. Es muy voraz, se alimenta de moluscos y crustáceos y su carne es comestible. Los individuos de la especie común en los mares de España, ape",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101808,Calamar vivo,"Molusco cefalópodo de cuerpo alargado, con una concha interna en forma de pluma de ave y diez tentáculos provistos de ventosas, dos de ellos más largos que el resto. Vive formando bancos que son objeto de una activa pesca.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101800,Mariscos e invertebrados acuáticos,2026-06-18 12:27:54
10101901,Mariposas,"Insecto lepidóptero,  son un orden de insectos holometábolos, casi siempre voladores; las más conocidas son las mariposas diurnas, pero la mayoría de las especies son nocturnas (polillas, esfinges, pavones, etc.) y pasan muy inadvertidas. Sus larvas se co",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101900,Insectos,2026-06-18 12:27:54
10101902,Escarabajos,"Insecto coleóptero, de antenas con nueve articulaciones terminadas en maza, élitros lisos, cuerpo deprimido, con cabeza rombal y dentada por delante, y patas anteriores desprovistas de tarsos. Busca el estiércol para alimentarse y hacer bolas, dentro de l",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101900,Insectos,2026-06-18 12:27:54
10101903,Abejas,"Insecto himenóptero, de unos quince milímetros de largo, de color pardo negruzco y con vello rojizo. Vive en colonias, cada una de las cuales consta de una sola hembra fecunda, muchos machos y numerosísimas hembras estériles; habita en los huecos de los á",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101900,Insectos,2026-06-18 12:27:54
10101904,Gusanos de seda,"Especie de insecto lepidóptero de la familia Bombycidae originaria del norte de Asia. Se cría hoy en muchas regiones del mundo para aprovechar el capullo que protege a su crisálida, constituido por un largo filamento de seda, producido por la oruga al ret",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101900,Insectos,2026-06-18 12:27:54
10102001,Elefantes,"Mamífero del orden de los Proboscidios, el mayor de los animales terrestres que viven ahora, pues llega a tres metros de alto y cinco de largo. Tiene el cuerpo de color ceniciento oscuro, la cabeza pequeña, los ojos chicos, las orejas grandes y colgantes,",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10102000,Animales salvajes,2026-06-18 12:27:54
10102002,Zorros vivos,"Mamífero cánido de menos de un metro de longitud, incluida la cola, de hocico alargado y orejas empinadas, pelaje de color pardo rojizo y muy espeso, especialmente en la cola, de punta blanca. Es de costumbres crepusculares y nocturnas; abunda en España y",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10102000,Animales salvajes,2026-06-18 12:27:54
10111301,Juguetes para mascotas,Objeto atractivo con que se entretienen los animales domésticos,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111302,Productos para el aseo y cuidado de mascotas,"Accesorios para el cuidado de los animales domésticos (artículos de aseo,estéticos,etc.)",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111303,Equipo para el manejo de desperdicios de las mascotas,"Colección de utensilios, instrumentos y aparatos especiales para la disposición adecuada de los desechos del animal doméstico",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111304,Tazones o equipo para alimentación de mascotas,"Colección de utensilios, instrumentos y aparatos especiales para un la alimentación de los animales domésticos",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111305,Tratamientos medicados para mascotas,"Es el conjunto de medios de cualquier clase (higiénicos, farmacológicos, quirúrgicos o físicos) cuya finalidad es la curación o el alivio (paliación) de las enfermedades o síntomas de animales domésticos",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111306,Kits para el entrenamiento de mascotas domésticas,"Conjunto de utensilios, instrumentos y aparatos especiales para el entrenamiento de animales domésticos.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10111307,Cobijas para mascotas,"Prenda de lana o algodón, tupida y ordinariamente peluda, de forma rectangular, que sirve para abrigar a los animales domésticos",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10110000,Productos  para  animales  domesticos,10111300,Tratamientos  para  los  animales  domesticos  y  accesorios  y  equipo,2026-06-18 12:27:54
10121501,Salvado de trigo puro,"Es el resultado de una parte de la molienda de los granos de cereales, en concreto procede de las cinco capas más externas del grano, formadas por una primera capa exterior de envuelta, o cutícula, la segunda o epicarpio, la tercera o endocarpio, la cuart",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121502,Avena para forraje,"Cereal de menor valor energético, como consecuencia de su alto contenido en fibra y lignina y su bajo nivel de almidón utilizado para la alimentación de animales.Aunque cada pienso es especifico de cada animal, a veces se puede usar uno de otra especie di",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121503,Maíz para forraje,"Es una planta gramínea anual originaria de América introducida en Europa en el siglo XVII. Actualmente, es el cereal con mayor volumen de producción en el mundo, superando al trigo y al arroz, utilizado para la alimentación de animales.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121504,Sorgo para forraje,"Planta anual, originaria de la India, de la familia de las Gramíneas, con cañas de dos a tres metros de altura, llenas de un tejido blanco y algo dulce y vellosas en los nudos; hojas lampiñas, ásperas en los bordes, flores en panoja floja, grande y derech",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121505,Heno,"Planta de la familia de las Gramíneas, con cañas delgadas de unos 20 cm de largo, hojas estrechas, agudas, más cortas que la vaina, y flores en panoja abierta, pocas en número y con arista en el cascabillo.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121506,Tortas oleaginosas,Masa en forma redonda resultado del hueso de la aceituna después de molida y exprimida,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121500,Pienso  para  ganado,2026-06-18 12:27:54
10121601,Alimento vivo para aves,Cada una de las sustancias o conjunto de cosas vivas que un pajaro toma o recibe para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121600,Alimento para pájaros y aves de corral,2026-06-18 12:27:54
10121602,Alpiste,"Semilla de la planta anual de la familia de las Gramíneas, que crece hasta 40 ó 50 cm y echa una panoja oval, con espiguillas de tres flores y semillas menudas. Toda la planta sirve para forraje, y las semillas para alimento de pájaros y para otros usos.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121600,Alimento para pájaros y aves de corral,2026-06-18 12:27:54
10121603,Pasa bocas o comida recreacional para aves,Cada una de las sustancias o conjunto de cosas que un pajaro toma o recibe para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121600,Alimento para pájaros y aves de corral,2026-06-18 12:27:54
10121604,Alimento avícola,Cada una de las sustancias o conjunto de cosas que una ave toma o recibe para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121600,Alimento para pájaros y aves de corral,2026-06-18 12:27:54
10121701,Salmuera fresca o congelada,Agua cargada de sal que puede estar fresca o congelada.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121700,Alimento para peces,2026-06-18 12:27:54
10121702,Alimento granulado para peces,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los peces toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121700,Alimento para peces,2026-06-18 12:27:54
10121703,Alimento en hojuelas para peces,Cada una de las sustancias o conjunto de cosas en forma grumo o coágulos que los peces toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121700,Alimento para peces,2026-06-18 12:27:54
10121801,Comida seca para perros,Cada una de las sustancias o conjunto de cosas en estado seco que los perros toman o reciben para su nutrición.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121802,Comida húmeda para perros,Cada una de las sustancias o conjunto de cosas en estado húmedo que los perros toman o reciben para su nutrición.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121803,Leche para perros o gatos,Líquido blanco que segregan algunos animales que se emplea parr alimentar a los perros y a los gatos,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121804,Comida seca para gatos,Cada una de las sustancias o conjunto de cosas en estado seco que gatos toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121805,Comida húmeda para gatos,Cada una de las sustancias o conjunto de cosas en estado húmedo que gatos toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121806,Pasa bocas o comida recreacional para gatos o perros,Cada una de las sustancias o conjunto de cosas  que perros y gatos toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121800,Alimento para perros y gatos,2026-06-18 12:27:54
10121901,Comida granulada para roedores,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los roedores toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10121900,Alimento para roedores,2026-06-18 12:27:54
10122001,Comida granulada para reptiles,Cada una de las sustancias o conjunto de cosas en forma de masa de granos pequeños que los reptiles toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122000,Alimento para reptiles,2026-06-18 12:27:54
10122002,Comida húmeda para reptiles,Cada una de las sustancias o conjunto de cosas en estado húmedo que los reptiles toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122000,Alimento para reptiles,2026-06-18 12:27:54
10122003,Comida viva para reptiles,Cada una de las sustancias o conjunto de cosas vivas que los reptiles toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122000,Alimento para reptiles,2026-06-18 12:27:54
10122101,Comida para cerdos,Cada una de las sustancias o conjunto de cosas que los cerdos toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122100,Comida para animales variados,2026-06-18 12:27:54
10122102,Comida para visones,Cada una de las sustancias o conjunto de cosas que los visones toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122100,Comida para animales variados,2026-06-18 12:27:54
10122103,Comida para monos,Cada una de las sustancias o conjunto de cosas que los monos toman o reciben para su nutrición,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10120000,Comida  de  animales,10122100,Comida para animales variados,2026-06-18 12:27:54
10131506,Establos para ganado,Lugar cubierto en que se encierra ganado para su descanso y alimentación,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131500,Cobertizos  para  animales,2026-06-18 12:27:54
10131507,Casas para mascotas domesticadas,Lugar que se utiliza para que los animales domésticos habiten,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131500,Cobertizos  para  animales,2026-06-18 12:27:54
10131508,Camas para mascotas,Sitio donde se echan los animales para su descanso,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131500,Cobertizos  para  animales,2026-06-18 12:27:54
10131601,Jaulas o sus accesorios,"Armazón, cerrado o no según los casos, hecho con barras o listones y destinado a encerrar animales.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131600,Recipientes para animales,2026-06-18 12:27:54
10131602,Perreras,Lugar o sitio donde se guardan o encierran los perros,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131600,Recipientes para animales,2026-06-18 12:27:54
10131603,Equipaje para el transporte de animales,"Armazón, cerrado o no según los casos, hecho con barras o listones y destinado a encerrar animales para la movilización o transporte de los mismos de un lugar a otro",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131600,Recipientes para animales,2026-06-18 12:27:54
10131604,Correas para perros,"Tira de cuero, que se usa para amarrar a los perros",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131600,Recipientes para animales,2026-06-18 12:27:54
10131701,Terrarios,"Instalación adecuada para mantener vivos y en las mejores condiciones a ciertos animales, como reptiles, anfibios, etc..",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131700,Hábitat para animales,2026-06-18 12:27:54
10131702,Acuarios,Depósito de agua donde se tienen vivos animales o vegetales acuáticos. Edificio destinado a la exhibición de animales acuáticos vivos.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10130000,Recipientes  y  habitat  para  animales,10131700,Hábitat para animales,2026-06-18 12:27:54
10141501,Sillas de montar,"Aparejo para montar a caballo, formado por una armazón de madera, cubierta generalmente de cuero y rellena de crin o pelote",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10140000,Productos  de  talabarteria  y  arreo,10141500,Talabarteria,2026-06-18 12:27:54
10141502,Fustas y látigos,"Vara flexible o látigo largo y delgado que por el extremo superior tiene una trencilla de correa, que se usa para estimular a los caballos.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10140000,Productos  de  talabarteria  y  arreo,10141500,Talabarteria,2026-06-18 12:27:54
10141503,Herraduras para caballo,Hierro aproximadamente semicircular que se clava a las caballerías en los cascos o a algunos vacunos en las pezuñas para que no se los maltraten con el piso.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10140000,Productos  de  talabarteria  y  arreo,10141500,Talabarteria,2026-06-18 12:27:54
10141504,Herraduras para mula,Hierro aproximadamente semicircular que se clava a las caballerías en los cascos o a algunos vacunos en las pezuñas para que no se los maltraten con el piso.,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10140000,Productos  de  talabarteria  y  arreo,10141500,Talabarteria,2026-06-18 12:27:54
10141601,Bridas,Freno del caballo con las riendas y todo el correaje que sirve para sujetarlo a la cabeza del animal,10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10140000,Productos  de  talabarteria  y  arreo,10141600,Arneses,2026-06-18 12:27:54
